"city","country","tier","popularityScore","recommendedStayDays","airportCount","outgoingConnections"
"Flores","Guatemala","standard","40","2","1","3"
"Guatemala City","Guatemala","standard","42","2","1","36"
"Alderney","Guernsey","standard","40","2","1","0"
"Conakry","Guinea","standard","41","2","1","18"
"Bissau","Guinea-Bissau","standard","40","2","1","6"
"Georgetown","Guyana","standard","41","2","2","8"
"Kaieteur","Guyana","standard","40","2","1","0"
"Cap Haitien","Haiti","standard","40","2","1","3"
"Port-au-prince","Haiti","standard","42","2","1","24"
"Comayagua","Honduras","standard","40","2","1","0"
"La Ceiba","Honduras","standard","40","2","1","5"
"Roatan","Honduras","standard","41","2","1","15"
"San Pedro Sula","Honduras","standard","42","2","1","23"
"Tegucigalpa","Honduras","standard","41","2","1","17"
"Hong Kong","Hong Kong","tourist","62","2","1","338"
"Budapest","Hungary","standard","46","2","1","83"
"Debrecen","Hungary","standard","40","2","1","1"
"Keflavik","Iceland","standard","43","2","1","39"
"Ahmedabad","India","standard","42","2","1","35"
"Amritsar","India","standard","41","2","1","8"
"Baghdogra","India","standard","41","2","1","16"
"Bangalore","India","standard","46","2","1","87"
"Bhopal","India","standard","40","2","1","6"
"Bhubaneswar","India","standard","41","2","1","8"
"Calicut","India","standard","42","2","1","30"
"Chandigarh","India","standard","41","2","1","8"
"Coimbatore","India","standard","41","2","1","17"
"Delhi","India","standard","53","2","1","202"
"Goa","India","standard","42","2","1","29"
"Guwahati","India","standard","41","2","1","18"
"Hyderabad","India","standard","44","2","1","61"
"Jaipur","India","standard","41","2","1","17"
"Kannur","India","standard","40","2","1","0"
"Kochi","India","standard","44","2","1","58"
"Kolkata","India","standard","45","2","1","75"
"Lucknow","India","standard","41","2","1","17"
"Madras","India","standard","46","2","1","97"
"Mangalore","India","standard","41","2","1","15"
"Mumbai","India","standard","52","2","1","186"
"Nagpur","India","standard","41","2","1","13"
"Patina","India","standard","41","2","1","12"
"Port Blair","India","standard","41","2","1","11"
"Pune","India","standard","42","2","1","31"
"Ranchi","India","standard","41","2","1","11"
"Trivandrum","India","standard","43","2","1","41"
"Balikpapan","Indonesia","standard","42","2","1","26"
"Bandung","Indonesia","standard","41","2","1","18"
"Batam","Indonesia","standard","41","2","1","14"
"Bengkulu","Indonesia","standard","40","2","1","5"
"Denpasar","Indonesia","standard","46","2","1","88"
"Jakarta","Indonesia","standard","49","2","2","131"
"Jayapura","Indonesia","standard","40","2","1","5"
"Manado","Indonesia","standard","41","2","1","13"
"Medan","Indonesia","standard","40","2","1","0"
"Praya","Indonesia","standard","41","2","1","14"
"Semarang","Indonesia","standard","41","2","1","15"
"Surabaya","Indonesia","standard","44","2","1","54"
"Tanjung Pinang","Indonesia","standard","40","2","1","3"
"Ujung Pandang","Indonesia","standard","42","2","1","27"
"Waikabubak-Sumba Island","Indonesia","standard","40","2","1","2"
"Yogyakarta","Indonesia","standard","42","2","1","25"
"Bandar Abbas","Iran","standard","41","2","1","14"
"Esfahan","Iran","standard","41","2","1","16"
"Karaj","Iran","standard","40","2","1","0"
"Khalije Fars","Iran","standard","40","2","1","3"
"Kish Island","Iran","standard","41","2","1","13"
"Mashhad","Iran","standard","42","2","1","35"
"Shiraz","Iran","standard","42","2","1","25"
"Tabriz","Iran","standard","41","2","1","14"
"Teheran","Iran","standard","41","2","1","21"
"Tehran","Iran","standard","44","2","1","57"
"Zahedan","Iran","standard","40","2","1","7"
"Baghdad","Iraq","standard","41","2","1","14"
"Basrah","Iraq","standard","41","2","1","8"
"Erbil","Iraq","standard","42","2","1","30"
"Mosul","Iraq","standard","40","2","1","3"
"Najaf","Iraq","standard","41","2","1","11"
"Sulaymaniyah","Iraq","standard","41","2","1","10"
"Cork","Ireland","standard","42","2","1","30"
"Dublin","Ireland","standard","50","2","1","156"
"Shannon","Ireland","standard","41","2","1","22"
"Isle Of Man","Isle of Man","standard","40","2","1","5"
"Haifa","Israel","standard","40","2","1","0"
"Ovda","Israel","standard","40","2","1","1"
"Tel-aviv","Israel","standard","48","2","1","123"
"Albenga","Italy","standard","40","2","1","0"
"Bari","Italy","standard","43","2","1","39"
"Bergamo","Italy","standard","44","2","1","54"
"Bologna","Italy","standard","45","2","1","73"
"Cagliari","Italy","standard","42","2","1","32"
"Catania","Italy","standard","47","2","1","100"
"Cuneo","Italy","standard","40","2","1","3"
"Florence","Italy","standard","43","2","1","46"
"Milan","Italy","standard","43","2","1","49"
"Milano","Italy","standard","52","2","1","174"
"Naples","Italy","standard","44","2","1","67"
"Palermo","Italy","standard","43","2","1","50"
"Perugia","Italy","standard","40","2","1","4"
"Pescara","Italy","standard","40","2","1","5"
"Pisa","Italy","standard","43","2","1","50"
"Rimini","Italy","standard","40","2","1","3"
"Rome","Italy","tourist","61","2","2","320"
"Torino","Italy","standard","42","2","1","35"
"Venice","Italy","standard","47","2","1","102"
"Kingston","Jamaica","standard","42","2","1","30"
"Montego Bay","Jamaica","standard","43","2","1","45"
"Fukuoka","Japan","standard","45","2","1","71"
"Hiroshima","Japan","standard","41","2","1","17"
"Kagoshima","Japan","standard","41","2","1","16"
"Kumamoto","Japan","standard","41","2","1","8"
"Nagoya","Japan","standard","45","2","1","72"
"Okinawa","Japan","standard","43","2","1","42"
"Osaka","Japan","standard","51","2","2","164"
"Sapporo","Japan","standard","43","2","1","51"
"Sendai","Japan","standard","42","2","1","28"
"Tokyo","Japan","tourist","64","2","2","366"
"Jersey","Jersey","standard","42","2","1","23"
"Johnston Island","Johnston Atoll","standard","40","2","1","0"
"Amman","Jordan","standard","47","2","2","108"
"Aqaba","Jordan","standard","40","2","1","2"
"Tselinograd","Kazakhstan","standard","42","2","1","28"
"Eldoret","Kenya","standard","40","2","1","2"
"Mombasa","Kenya","standard","41","2","1","14"
"Nairobi","Kenya","standard","48","2","1","115"
"Kiritimati","Kiribati","standard","40","2","1","4"
"Tarawa","Kiribati","standard","40","2","1","3"
"Kuwait","Kuwait","standard","48","2","1","115"
"Bishkek","Kyrgyzstan","standard","42","2","1","34"
"Tamchy","Kyrgyzstan","standard","40","2","1","0"
"Luang Prabang","Laos","standard","41","2","1","12"
"Pakse","Laos","standard","40","2","1","4"
"Vientiane","Laos","standard","41","2","1","19"
"Liepaja","Latvia","standard","40","2","1","0"
"Riga","Latvia","standard","46","2","1","85"
"Beirut","Lebanon","standard","44","2","1","66"
"Maseru","Lesotho","standard","40","2","1","1"
"Monrovia","Liberia","standard","41","2","1","16"
"Benghazi","Libya","standard","41","2","1","21"
"Tripoli","Libya","standard","43","2","1","40"
"Kaunas","Lithuania","standard","41","2","1","11"
"Palanga","Lithuania","standard","40","2","1","3"
"Siauliai","Lithuania","standard","40","2","1","0"
"Vilnius","Lithuania","standard","43","2","1","46"
"Luxemburg","Luxembourg","standard","44","2","1","58"
"Macau","Macau","standard","45","2","1","76"
"Skopje","Macedonia","standard","41","2","1","14"
"Antananarivo","Madagascar","standard","41","2","1","16"
"Tambohorano","Madagascar","standard","40","2","1","0"
"Blantyre","Malawi","standard","40","2","1","5"
"Lilongwe","Malawi","standard","41","2","1","12"
"Johor Bahru","Malaysia","standard","41","2","1","12"
"Kota Kinabalu","Malaysia","standard","43","2","1","38"
"Kuala Lumpur","Malaysia","standard","56","2","2","243"
"Kuching","Malaysia","standard","41","2","1","13"
"Langkawi","Malaysia","standard","41","2","1","17"
"Penang","Malaysia","standard","42","2","1","34"
"Gan Island","Maldives","standard","40","2","1","2"
"Male","Maldives","standard","43","2","1","39"
"Bamako","Mali","standard","42","2","1","28"
"Malta","Malta","standard","46","2","1","95"
"Majuro","Marshall Islands","standard","40","2","1","3"
"Fort-de-france","Martinique","standard","41","2","1","19"
"Nouakschott","Mauritania","standard","41","2","1","10"
"Plaisance","Mauritius","standard","42","2","1","37"
"Dzaoudzi","Mayotte","standard","41","2","1","11"
"Acapulco","Mexico","standard","41","2","1","8"
"Aguascalientes","Mexico","standard","41","2","1","9"
"Cancun","Mexico","standard","50","2","1","151"
"Chetumal","Mexico","standard","40","2","1","1"
"Chichen Itza","Mexico","standard","40","2","1","0"
"Ciudad Acuna","Mexico","standard","40","2","1","0"
"Ciudad Del Carmen","Mexico","standard","40","2","1","3"
"Ciudad Juarez","Mexico","standard","41","2","1","11"
"Ciudad Obregon","Mexico","standard","40","2","1","5"
"Culiacan","Mexico","standard","41","2","1","16"
"Del Bajio","Mexico","standard","41","2","1","14"
"Durango","Mexico","standard","40","2","1","5"
"Ensenada","Mexico","standard","40","2","1","0"
"Guadalajara","Mexico","standard","46","2","1","87"
"Hermosillo","Mexico","standard","42","2","1","24"
"Huatulco","Mexico","standard","40","2","1","3"
"La Paz","Mexico","standard","41","2","1","9"
"Loreto","Mexico","standard","40","2","1","1"
"Los Mochis","Mexico","standard","40","2","1","4"
"Matamoros","Mexico","standard","40","2","1","2"
"Merida","Mexico","standard","41","2","1","13"
"Mexicali","Mexico","standard","40","2","1","4"
"Mexico City","Mexico","standard","53","2","1","199"
"Monterrey","Mexico","standard","44","2","2","64"
"Morelia","Mexico","standard","41","2","1","10"
"Nuevo Laredo","Mexico","standard","40","2","1","1"
"Oaxaca","Mexico","standard","40","2","1","6"
"Palenque","Mexico","standard","40","2","1","1"
"Piedras Negras","Mexico","standard","40","2","1","2"
"Puebla","Mexico","standard","40","2","1","7"
"Puerto Escondido","Mexico","standard","40","2","1","3"
"Puerto Vallarta","Mexico","standard","43","2","1","47"
"Punta Penasco","Mexico","standard","40","2","1","0"
"Queretaro","Mexico","standard","40","2","1","7"
"Reynosa","Mexico","standard","40","2","1","6"
"San Jose Del Cabo","Mexico","standard","43","2","1","51"
"Tijuana","Mexico","standard","42","2","1","34"
"Toluca","Mexico","standard","41","2","1","12"
"Tuxtla Gutierrez","Mexico","standard","41","2","1","8"
"Vera Cruz","Mexico","standard","41","2","1","13"
"Chuuk","Micronesia","standard","40","2","1","2"
"Kosrae","Micronesia","standard","40","2","1","1"
"Pohnpei","Micronesia","standard","40","2","1","2"
"Yap","Micronesia","standard","40","2","1","2"
"Midway","Midway Islands","standard","40","2","1","0"
"Chisinau","Moldova","standard","42","2","1","29"
"Saltsy","Moldova","standard","40","2","1","0"
"Ulan Bator","Mongolia","standard","41","2","1","11"
"Podgorica","Montenegro","standard","41","2","1","16"
"Geralds","Montserrat","standard","40","2","1","0"
"Agadir","Morocco","standard","41","2","1","22"
"Casablanca","Morocco","standard","47","2","1","108"
"Fes","Morocco","standard","41","2","1","11"
"Marrakech","Morocco","standard","44","2","1","57"
"Rabat","Morocco","standard","41","2","1","9"
"Tanger","Morocco","standard","41","2","1","18"
"Beira","Mozambique","standard","40","2","1","3"
"Maputo","Mozambique","standard","41","2","1","10"
"Kalemyo","Myanmar","standard","40","2","1","0"
"Windhoek","Namibia","standard","41","2","1","15"
"Nauru","Nauru","standard","40","2","1","3"
"Kathmandu","Nepal","standard","42","2","1","33"
"Amsterdam","Netherlands","tourist","65","2","1","376"
"Eindhoven","Netherlands","standard","44","2","1","56"
"Rotterdam","Netherlands","standard","42","2","1","25"
"Kralendijk","Netherlands Antilles","standard","41","2","1","10"
