"city","country","tier","popularityScore","recommendedStayDays","airportCount","outgoingConnections"
"Fuerteventura","Spain","standard","45","2","1","68"
"Gran Canaria","Spain","standard","48","2","1","113"
"Ibiza","Spain","standard","45","2","1","69"
"Madrid","Spain","standard","59","2","1","287"
"Malaga","Spain","standard","50","2","1","143"
"Murcia","Spain","standard","40","2","1","0"
"Palma de Mallorca","Spain","standard","51","2","1","165"
"Sevilla","Spain","standard","43","2","1","52"
"Tenerife","Spain","standard","48","2","2","127"
"Valencia","Spain","standard","44","2","1","67"
"Colombo","Sri Lanka","standard","46","2","1","94"
"Mattala","Sri Lanka","standard","40","2","1","7"
"Khartoum","Sudan","standard","42","2","1","33"
"Zandery","Suriname","standard","41","2","1","10"
"Manzini","Swaziland","standard","40","2","1","0"
"Gothenborg","Sweden","standard","43","2","1","44"
"Stockholm","Sweden","standard","51","2","1","159"
"Geneva","Switzerland","standard","50","2","1","146"
"Zurich","Switzerland","standard","55","2","1","218"
"Aleppo","Syria","standard","40","2","1","0"
"Damascus","Syria","standard","40","2","1","0"
"Latakia","Syria","standard","40","2","1","0"
"Kaohsiung","Taiwan","standard","44","2","1","61"
"Taichung","Taiwan","standard","42","2","1","25"
"Taipei","Taiwan","standard","58","2","2","267"
"Kurgan Tyube","Tajikistan","standard","40","2","1","1"
"Dar Es Salaam","Tanzania","standard","42","2","1","30"
"Kilimanjaro","Tanzania","standard","41","2","1","16"
"Zanzibar","Tanzania","standard","41","2","1","11"
"Bangkok","Thailand","tourist","64","2","2","357"
"Chiang Mai","Thailand","standard","43","2","1","43"
"Chiang Rai","Thailand","standard","41","2","1","11"
"Hat Yai","Thailand","standard","40","2","1","6"
"Ko Samui","Thailand","standard","41","2","1","18"
"Krabi","Thailand","standard","41","2","1","16"
"Pattaya","Thailand","standard","40","2","1","2"
"Phuket","Thailand","standard","45","2","1","70"
"Lome","Togo","standard","41","2","1","20"
"Tongatapu","Tonga","standard","40","2","1","4"
"Vava'u","Tonga","standard","40","2","1","0"
"Port-of-spain","Trinidad and Tobago","standard","42","2","1","32"
"Scarborough","Trinidad and Tobago","standard","40","2","1","4"
"Djerba","Tunisia","standard","42","2","1","27"
"Enfidha","Tunisia","standard","42","2","1","31"
"Gabes","Tunisia","standard","40","2","1","1"
"Gafsa","Tunisia","standard","40","2","1","1"
"Monastir","Tunisia","standard","41","2","1","14"
"Sfax","Tunisia","standard","41","2","1","8"
"Tunis","Tunisia","standard","45","2","1","74"
"Adana","Turkey","standard","41","2","1","16"
"Ankara","Turkey","standard","42","2","1","32"
"Antalya","Turkey","standard","46","2","1","90"
"Bodrum","Turkey","standard","42","2","1","24"
"Dalaman","Turkey","standard","43","2","1","41"
"Erzurum","Turkey","standard","40","2","1","5"
"Gaziantep","Turkey","standard","41","2","1","9"
"Isparta","Turkey","standard","40","2","1","1"
"Istanbul","Turkey","tourist","66","2","3","394"
"Izmir","Turkey","standard","43","2","1","51"
"Trabzon","Turkey","standard","41","2","1","10"
"Ashkhabad","Turkmenistan","standard","41","2","1","15"
"Cockburn Town","Turks and Caicos Islands","standard","40","2","1","2"
"Providenciales","Turks and Caicos Islands","standard","42","2","1","30"
"Funafuti","Tuvalu","standard","40","2","1","0"
"Entebbe","Uganda","standard","42","2","1","31"
"Cherkassy","Ukraine","standard","40","2","1","0"
"Chernovtsk","Ukraine","standard","40","2","1","0"
"Ivano-Frankivsk","Ukraine","standard","40","2","1","2"
"Kharkov","Ukraine","standard","41","2","1","9"
"Kherson","Ukraine","standard","40","2","1","0"
"Kiev","Ukraine","standard","47","2","2","108"
"Krivoy Rog","Ukraine","standard","40","2","1","0"
"Lugansk","Ukraine","standard","40","2","1","0"
"Lvov","Ukraine","standard","41","2","1","14"
"Mariupol International","Ukraine","standard","40","2","1","0"
"Nikolayev","Ukraine","standard","40","2","1","0"
"Odessa","Ukraine","standard","41","2","1","18"
"Rivne","Ukraine","standard","40","2","1","0"
"Simferopol","Ukraine","standard","40","2","1","7"
"Uzhgorod","Ukraine","standard","40","2","1","1"
"Zaporozhye","Ukraine","standard","40","2","1","2"
"Abu Dhabi","United Arab Emirates","standard","56","2","1","236"
"Al Ain","United Arab Emirates","standard","40","2","1","2"
"Dubai","United Arab Emirates","tourist","65","2","2","373"
"Fujeirah","United Arab Emirates","standard","40","2","1","0"
"Ras Al Khaimah","United Arab Emirates","standard","40","2","1","0"
"Sharjah","United Arab Emirates","standard","46","2","1","84"
"Belfast","United Kingdom","standard","42","2","1","30"
"Birmingham","United Kingdom","standard","48","2","1","116"
"Blackpool","United Kingdom","standard","41","2","1","9"
"Cardiff","United Kingdom","standard","42","2","1","29"
"Edinburgh","United Kingdom","standard","46","2","1","96"
"Exeter","United Kingdom","standard","41","2","1","17"
"Glasgow","United Kingdom","standard","45","2","1","82"
"London","United Kingdom","major","100","3","3","902"
"Manchester","United Kingdom","standard","58","2","1","271"
"Manston","United Kingdom","standard","40","2","1","0"
"Norwich","United Kingdom","standard","40","2","1","6"
"Akron","United States","standard","40","2","1","0"
"Albany","United States","standard","42","2","1","30"
"Albuquerque","United States","standard","43","2","1","39"
"Alexandria","United States","standard","40","2","1","6"
"Alice","United States","standard","40","2","1","0"
"Allentown","United States","standard","41","2","1","11"
"Amarillo","United States","standard","41","2","1","10"
"Anchorage","United States","standard","41","2","1","18"
"Appleton","United States","standard","40","2","1","7"
"Atlanta","United States","major","87","3","1","702"
"Atlantic City","United States","standard","41","2","1","10"
"Austin","United States","standard","45","2","1","81"
"Baltimore","United States","standard","49","2","1","132"
"Bangor","United States","standard","40","2","1","6"
"Baudette","United States","standard","40","2","1","0"
"Bellingham","United States","standard","41","2","1","9"
"Birmingham","United States","standard","42","2","1","34"
"Blytheville","United States","standard","40","2","1","0"
"Boise","United States","standard","41","2","1","20"
"Boston","United States","standard","52","2","1","186"
"Brownsville","United States","standard","40","2","1","3"
"Buffalo","United States","standard","42","2","1","35"
"Burlington","United States","standard","41","2","1","11"
"Calexico","United States","standard","40","2","1","0"
"Charleston","United States","standard","42","2","1","32"
"Charlotte","United States","standard","55","2","1","225"
"Chicago","United States","tourist","78","2","2","565"
"Cincinnati","United States","standard","45","2","1","68"
"Cleveland","United States","standard","45","2","1","70"
"Columbus","United States","standard","44","2","2","61"
"Corpus Christi","United States","standard","40","2","1","4"
"Cutbank","United States","standard","40","2","1","0"
"Dallas","United States","standard","42","2","1","30"
"Dallas-Fort Worth","United States","tourist","63","2","1","345"
"Dayton","United States","standard","42","2","1","29"
"Daytona Beach","United States","standard","40","2","1","5"
"Del Rio","United States","standard","40","2","1","0"
"Denver","United States","standard","58","2","1","267"
"Des Moines","United States","standard","42","2","1","26"
"Detroit","United States","standard","52","2","1","176"
"Douglas","United States","standard","40","2","1","0"
"Duluth","United States","standard","40","2","1","3"
"El Paso","United States","standard","42","2","1","23"
"Fairbanks","United States","standard","40","2","1","3"
"Fargo","United States","standard","41","2","1","12"
"Fort Lauderdale","United States","standard","50","2","1","156"
"Fort Myers","United States","standard","44","2","1","58"
"Fort Wayne","United States","standard","41","2","1","13"
"Fort Worth","United States","standard","40","2","1","0"
"Fresno","United States","standard","41","2","1","20"
"Galveston","United States","standard","40","2","1","0"
"Gary","United States","standard","40","2","1","0"
"Grand Forks","United States","standard","40","2","1","2"
"Grand Rapids","United States","standard","42","2","1","25"
"Great Falls","United States","standard","40","2","1","5"
"Green Bay","United States","standard","41","2","1","8"
"Gulfport","United States","standard","41","2","1","9"
"Gwinn","United States","standard","40","2","1","3"
"Harlingen","United States","standard","40","2","1","5"
"Harrisburg","United States","standard","41","2","1","19"
"Hilo","United States","standard","40","2","1","4"
"Honolulu","United States","standard","48","2","1","113"
"Houlton","United States","standard","40","2","1","0"
"Houston","United States","standard","54","2","1","206"
"Indianapolis","United States","standard","44","2","1","66"
"International Falls","United States","standard","40","2","1","1"
"Jackson","United States","standard","41","2","1","16"
"Jacksonville","United States","standard","43","2","1","42"
"Juneau","United States","standard","40","2","1","5"
"Kahului","United States","standard","43","2","1","38"
"Kalamazoo","United States","standard","40","2","1","6"
"Kalispell","United States","standard","40","2","1","5"
"Kansas City","United States","standard","45","2","1","78"
"Ketchikan","United States","standard","40","2","1","5"
"Key West","United States","standard","41","2","1","15"
"Kona","United States","standard","41","2","1","19"
"Lakeland","United States","standard","40","2","1","0"
"Laredo","United States","standard","40","2","1","4"
"Las Cruces","United States","standard","40","2","1","0"
"Las Vegas","United States","standard","54","2","1","212"
"Leesburg","United States","standard","40","2","1","0"
"Lihue","United States","standard","41","2","1","21"
"Los Angeles","United States","tourist","69","2","1","442"
"Louisville","United States","standard","43","2","1","38"
"Lubbock","United States","standard","41","2","1","10"
"Mcallen","United States","standard","40","2","1","5"
"Melbourne","United States","standard","40","2","1","5"
"Memphis","United States","standard","43","2","1","51"
"Miami","United States","tourist","63","2","1","340"
"Midland","United States","standard","40","2","1","7"
"Milwaukee","United States","standard","44","2","1","63"
"Minneapolis","United States","standard","52","2","1","183"
"Minot","United States","standard","40","2","1","4"
"Missoula","United States","standard","40","2","1","6"
"Myrtle Beach","United States","standard","42","2","1","27"
"Nashville","United States","standard","45","2","1","71"
"New Orleans","United States","standard","48","2","1","118"
"New York","United States","tourist","70","2","1","444"
"Newark","United States","standard","56","2","1","240"
"Newburgh","United States","standard","40","2","1","6"
"Newport News","United States","standard","41","2","1","8"
"Niagara Falls","United States","standard","40","2","1","3"
"Nogales","United States","standard","40","2","1","0"
"Norfolk","United States","standard","42","2","1","33"
"Oakland","United States","standard","43","2","1","47"
"Ocala","United States","standard","40","2","1","0"
"Ogdensburg","United States","standard","40","2","1","1"
"Omaha","United States","standard","42","2","1","33"
"Ontario","United States","standard","42","2","1","24"
"Orlando","United States","standard","54","2","1","209"
"Palm Springs","United States","standard","42","2","1","26"
"Panama City","United States","standard","40","2","1","6"
"Peoria","United States","standard","41","2","1","13"
"Philadelphia","United States","standard","57","2","1","250"
"Phoenix","United States","standard","55","2","1","219"
"Pittsburgh","United States","standard","45","2","1","70"
"Plattsburgh","United States","standard","40","2","1","6"
"Portland","United States","standard","46","2","2","97"
"Portsmouth","United States","standard","40","2","1","0"
"Providence","United States","standard","42","2","1","27"
"Raleigh-durham","United States","standard","45","2","1","78"
"Reno","United States","standard","42","2","1","27"
"Richmond","United States","standard","42","2","1","35"
"Rochester","United States","standard","42","2","1","29"
"Rome","United States","standard","40","2","1","0"
"Roswell","United States","standard","40","2","1","2"
"Sacramento","United States","standard","43","2","1","52"
"Saginaw","United States","standard","40","2","1","5"
"Salt Lake City","United States","standard","47","2","1","110"
"San Antonio","United States","standard","44","2","1","66"
"San Bernardino","United States","standard","40","2","1","0"
"San Diego","United States","standard","48","2","1","113"
"San Francisco","United States","standard","55","2","1","230"
"San Jose","United States","standard","44","2","1","59"
"Santa Ana","United States","standard","43","2","1","41"
"Sarasota","United States","standard","41","2","1","11"
"Savannah","United States","standard","41","2","1","22"
"Scranton","United States","standard","41","2","1","8"
"Seattle","United States","standard","52","2","1","182"
"Spokane","United States","standard","41","2","1","15"
"St. Louis","United States","standard","47","2","1","98"
"St. Petersburg","United States","standard","41","2","1","13"
"Syracuse","United States","standard","42","2","1","25"
"Tampa","United States","standard","48","2","1","119"
"Tucson","United States","standard","42","2","1","31"
"Tulsa","United States","standard","42","2","1","25"
"Washington","United States","tourist","61","2","2","323"
"Watertown","United States","standard","40","2","1","4"
"West Palm Beach","United States","standard","42","2","1","33"
"Williston","United States","standard","40","2","1","2"
"Wilmington","United States","standard","41","2","1","10"
"Windsor Locks","United States","standard","43","2","1","51"
"Yuma","United States","standard","40","2","1","3"
"Montevideo","Uruguay","standard","42","2","1","23"
"Punta del Este","Uruguay","standard","40","2","1","3"
"Rivera","Uruguay","standard","40","2","1","0"
"Fergana","Uzbekistan","standard","40","2","1","7"
"Tashkent","Uzbekistan","standard","44","2","1","64"
"Port-vila","Vanuatu","standard","41","2","1","15"
"Santo","Vanuatu","standard","40","2","1","3"
"Caracas","Venezuela","standard","43","2","1","52"
"Maracaibo","Venezuela","standard","41","2","1","13"
"Puerto Cabello","Venezuela","standard","40","2","1","1"
"Valencia","Venezuela","standard","40","2","1","6"
"Can Tho","Vietnam","standard","40","2","1","2"
"Chu Lai","Vietnam","standard","40","2","1","2"
"Danang","Vietnam","standard","42","2","1","29"
"Haiphong","Vietnam","standard","40","2","1","4"
"Hanoi","Vietnam","standard","45","2","1","75"
"Ho Chi Minh City","Vietnam","standard","46","2","1","89"
"Nha Trang","Vietnam","standard","40","2","1","7"
"Phuquoc","Vietnam","standard","40","2","1","5"
"St. Thomas","Virgin Islands","standard","42","2","1","29"
"Wake island","Wake Island","standard","40","2","1","0"
"Wallis","Wallis and Futuna","standard","40","2","1","2"
"Jerusalem","West Bank","standard","40","2","1","0"
"Smara","Western Sahara","standard","40","2","1","0"
"Aden","Yemen","standard","41","2","1","21"
"Al Ghaidah Intl","Yemen","standard","40","2","1","1"
"Hodeidah","Yemen","standard","40","2","1","5"
"Mukalla","Yemen","standard","41","2","1","10"
"Sanaa","Yemen","standard","42","2","1","36"
"Sayun Intl","Yemen","standard","40","2","1","5"
"Taiz","Yemen","standard","40","2","1","7"
"Lusaka","Zambia","standard","42","2","1","29"
"Ndola","Zambia","standard","41","2","1","8"
"Bulawayo","Zimbabwe","standard","40","2","1","4"
"Harare","Zimbabwe","standard","42","2","1","26"
"Kariba","Zimbabwe","standard","40","2","1","0"
"Masvingo","Zimbabwe","standard","40","2","1","0"
"Victoria Falls","Zimbabwe","standard","40","2","1","6"
