id,ident,name,lat,lon,country,municipality
74,YIB,Atikokan Municipal Airport,48.7738990784,-91.6386032104,Canada,Atikokan
75,YIO,Pond Inlet Airport,72.6832962036,-77.9666976929,Canada,Pond Inlet
76,YJN,St Jean Airport,45.29439926147461,-73.28109741210938,Canada,St. Jean
77,YJT,Stephenville Airport,48.5442008972168,-58.54999923706055,Canada,Stephenville
78,YKA,Kamloops Airport,50.7022018433,-120.444000244,Canada,Kamloops
79,YKF,Waterloo Airport,43.460800170899994,-80.3786010742,Canada,Waterloo
80,YKL,Schefferville Airport,54.805301666259766,-66.8052978515625,Canada,Schefferville
81,YKY,Kindersley Airport,51.5175018311,-109.180999756,Canada,Kindersley
82,YKZ,Buttonville Municipal Airport,43.86220169067383,-79.37000274658203,Canada,Toronto
83,YLD,Chapleau Airport,47.81999969482422,-83.3467025756836,Canada,Chapleau
84,YLJ,Meadow Lake Airport,54.125301361083984,-108.52300262451172,Canada,Meadow Lake
85,YLL,Lloydminster Airport,53.309200286865234,-110.072998046875,Canada,Lloydminster
86,YLT,Alert Airport,82.51779937740001,-62.2806015015,Canada,Alert
87,YLW,Kelowna International Airport,49.9561004639,-119.377998352,Canada,Kelowna
88,YMA,Mayo Airport,63.61640167236328,-135.8679962158203,Canada,Mayo
89,YMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,50.330299377441406,-105.55899810791016,Canada,Moose Jaw
90,YMM,Fort McMurray Airport,56.653301239,-111.222000122,Canada,Fort Mcmurray
91,YMO,Moosonee Airport,51.291099548339844,-80.60780334472656,Canada,Moosonee
92,YMW,Maniwaki Airport,46.2728004456,-75.9906005859,Canada,Maniwaki
93,YMX,Montreal International (Mirabel) Airport,45.679501,-74.038696,Canada,Montreal
94,YNA,Natashquan Airport,50.189998626708984,-61.78919982910156,Canada,Natashquan
95,YND,Ottawa / Gatineau Airport,45.521701812699995,-75.5635986328,Canada,Gatineau
96,YNM,Matagami Airport,49.76169967651367,-77.80280303955078,Canada,Matagami
97,YOC,Old Crow Airport,67.57060241699219,-139.83900451660156,Canada,Old Crow
98,YOD,CFB Cold Lake,54.404998779296875,-110.27899932861328,Canada,Cold Lake
99,YOJ,High Level Airport,58.62139892578125,-117.16500091552734,Canada,High Level
100,YOW,Ottawa Macdonald-Cartier International Airport,45.3224983215332,-75.66919708251953,Canada,Ottawa
101,YPA,Prince Albert Glass Field,53.214199066199996,-105.672996521,Canada,Prince Albert
